tempo,erro,velocidade
0.07,-2.61,8333.33
0.08,-1.46,5357.14
0.09,0.6,0.0
0.1,0.3,776.27
0.12,0.32,737.49
0.14,0.33,689.1
0.16,0.36,625.0
0.18,0.38,576.92
0.2,0.38,560.9
0.22,0.37,608.97
0.23,0.35,656.35
0.25,0.33,705.43
0.27,0.29,801.28
0.29,0.27,865.57
0.31,0.23,961.95
0.33,0.21,1025.64
0.35,0.18,1092.45
0.37,0.15,1169.27
0.39,0.12,1245.44
0.41,0.1,1304.88
0.43,0.08,1352.04
0.45,0.07,1381.58
0.47,0.05,1440.85
0.49,0.03,1473.27
0.51,0.02,1503.04
0.53,0.02,1519.14
0.55,0.0,1548.58
0.57,-0.01,1578.31
0.59,-0.01,1586.23
0.61,-0.02,1600.96
0.63,-0.03,1629.18
0.65,-0.03,1630.43
0.67,-0.03,1645.18
0.69,-0.04,1657.7
0.71,-0.04,1672.43
0.73,-0.04,1659.29
0.75,-0.04,1674.04
0.77,-0.04,1672.11
0.8,-0.05,1688.47
0.82,-0.05,1686.2
0.84,-0.05,1687.18
0.86,-0.05,1687.82
0.88,-0.05,1688.8
0.9,-0.05,1687.5
0.92,-0.05,1700.29
0.94,-0.05,1701.92
0.96,-0.04,1673.72
0.98,-0.04,1658.02
1.0,-0.03,1644.23
1.02,-0.02,1616.01
1.04,-0.02,1600.96
1.07,-0.01,1586.54
1.09,-0.01,1585.32
1.11,0.0,1558.29
1.13,0.0,1548.58
1.15,0.0,1548.58
1.17,0.01,1534.95
1.19,0.01,1531.85
1.21,0.02,1517.91
1.23,0.02,1519.14
1.25,0.02,1518.22
1.26,0.02,1503.04
1.28,0.02,1502.43
1.3,0.03,1488.46
1.33,0.02,1502.73
1.34,0.03,1488.16
1.36,0.03,1487.85
1.38,0.02,1502.43
1.4,0.03,1489.36
1.42,0.03,1486.95
1.44,0.03,1473.57
1.46,0.03,1486.95
1.48,0.03,1487.85
1.5,0.03,1472.67
1.52,0.03,1486.95
1.54,0.03,1473.87
1.56,0.03,1487.25
1.58,0.03,1473.87
1.6,0.03,1471.78
1.62,0.03,1487.85
1.64,0.03,1487.85
1.66,0.03,1473.57
1.68,0.03,1471.78
1.7,0.03,1487.85
1.72,0.03,1487.25
1.74,0.03,1474.16
1.76,0.03,1472.67
1.78,0.03,1486.35
1.8,0.03,1488.76
1.82,0.03,1473.27
1.84,0.03,1471.78
1.86,0.03,1487.25
1.88,0.03,1487.85
1.9,0.03,1473.27
1.92,0.03,1472.67
1.94,0.03,1486.65
1.96,0.03,1473.87
1.98,0.03,1488.16
2.0,0.03,1473.27
2.02,0.03,1472.67
2.04,0.03,1486.35
2.06,0.03,1472.97
2.08,0.03,1488.16
2.1,0.03,1472.08
2.12,0.03,1473.57
2.14,0.03,1486.95
2.15,0.03,1473.27
2.17,0.03,1473.57
2.19,0.03,1486.35
2.21,0.03,1487.85
2.23,0.03,1473.27
2.25,0.03,1473.57
2.27,0.03,1486.35
2.29,0.03,1487.85
2.31,0.03,1474.16
2.33,0.03,1471.78
2.35,0.03,1487.85
2.37,0.03,1488.46
2.39,0.03,1486.65
2.41,0.03,1473.57
2.43,0.03,1486.95
2.45,0.03,1487.85
2.47,0.03,1474.16
2.49,0.03,1487.85
2.51,0.03,1471.78
2.53,0.03,1487.25
