tempo,PWM,RPM
2.839,111.757,1200.0
2.849,112.437,1200.0
2.86,97.448,1230.0
2.869,98.026,1230.0
2.879,114.273,1200.0
2.889,99.284,1230.0
2.899,115.531,1200.0
2.909,100.542,1230.0
2.919,101.12,1230.0
2.929,101.698,1230.0
2.939,102.276,1230.0
2.949,102.854,1230.0
2.959,103.432,1230.0
2.969,119.679,1200.0
2.979,104.69,1230.0
2.989,105.268,1230.0
2.999,105.846,1230.0
3.009,90.755,1260.0
3.019,106.9,1230.0
3.03,107.478,1230.0
3.039,108.056,1230.0
3.049,108.634,1230.0
3.059,109.212,1230.0
3.069,94.121,1260.0
3.079,110.266,1230.0
3.089,95.175,1260.0
3.099,111.32,1230.0
3.109,111.898,1230.0
3.119,112.476,1230.0
3.129,97.385,1260.0
3.139,97.861,1260.0
3.149,114.006,1230.0
3.159,98.915,1260.0
3.169,115.06,1230.0
3.179,99.97,1260.0
3.189,116.115,1230.0
3.2,101.024,1260.0
3.209,101.5,1260.0
3.219,101.976,1260.0
3.229,102.452,1260.0
3.239,118.597,1230.0
3.249,103.506,1260.0
3.259,103.982,1260.0
3.269,104.458,1260.0
3.279,104.934,1260.0
3.289,105.41,1260.0
3.299,105.886,1260.0
3.309,106.362,1260.0
3.319,122.507,1230.0
3.329,91.747,1290.0
3.339,107.79,1260.0
3.349,108.266,1260.0
3.359,108.742,1260.0
3.369,109.218,1260.0
3.379,94.025,1290.0
3.389,110.068,1260.0
3.399,110.544,1260.0
3.409,111.02,1260.0
3.419,111.496,1260.0
3.429,96.303,1290.0
3.439,112.346,1260.0
3.449,97.153,1290.0
3.459,113.196,1260.0
3.469,113.672,1260.0
3.479,98.479,1290.0
3.489,98.853,1290.0
3.5,114.896,1260.0
3.509,115.372,1260.0
3.519,100.179,1290.0
3.529,100.553,1290.0
3.539,116.596,1260.0
3.549,101.403,1290.0
3.559,117.446,1260.0
3.569,102.253,1290.0
3.579,118.296,1260.0
3.589,103.103,1290.0
3.599,87.808,1320.0
3.609,103.749,1290.0
3.619,119.792,1260.0
3.629,120.268,1260.0
3.639,89.406,1320.0
3.649,105.347,1290.0
3.659,121.39,1260.0
3.67,106.197,1290.0
3.679,106.571,1290.0
3.689,106.945,1290.0
3.699,107.319,1290.0
3.709,107.693,1290.0
3.719,108.067,1290.0
3.729,108.441,1290.0
3.739,108.815,1290.0
3.749,109.189,1290.0
3.759,109.563,1290.0
3.769,94.268,1320.0
3.779,110.209,1290.0
3.789,110.583,1290.0
3.799,126.626,1260.0
3.809,95.764,1320.0
3.819,111.705,1290.0
3.829,96.41,1320.0
3.84,112.351,1290.0
3.849,128.394,1260.0
3.859,97.532,1320.0
3.869,97.804,1320.0
3.879,113.745,1290.0
3.889,114.119,1290.0
3.899,98.824,1320.0
3.909,114.765,1290.0
3.919,99.47,1320.0
3.929,115.411,1290.0
3.939,115.785,1290.0
3.949,100.49,1320.0
3.959,100.762,1320.0
3.969,116.703,1290.0
3.979,101.408,1320.0
3.989,117.349,1290.0
3.999,102.054,1320.0
4.009,117.995,1290.0
4.019,102.7,1320.0
4.029,118.641,1290.0
4.039,103.346,1320.0
4.049,103.618,1320.0
4.059,103.89,1320.0
4.069,104.162,1320.0
4.079,120.103,1290.0
4.089,120.477,1290.0
4.099,89.513,1350.0
4.109,105.352,1320.0
4.119,121.293,1290.0
4.129,105.998,1320.0
4.14,121.939,1290.0
4.149,90.975,1350.0
4.159,106.814,1320.0
4.169,122.755,1290.0
4.179,107.46,1320.0
4.189,107.732,1320.0
4.199,108.004,1320.0
4.209,108.276,1320.0
4.219,108.548,1320.0
4.229,108.82,1320.0
4.239,109.092,1320.0
4.249,109.364,1320.0
4.259,109.636,1320.0
4.529,101.311,1350.0
4.539,117.15,1320.0
4.549,117.422,1320.0
4.559,102.025,1350.0
4.569,102.195,1350.0
4.579,118.034,1320.0
4.589,118.306,1320.0
4.599,102.909,1350.0
4.609,103.079,1350.0
4.619,103.249,1350.0
4.629,119.088,1320.0
4.639,119.36,1320.0
4.649,103.963,1350.0
4.659,104.133,1350.0
4.669,104.303,1350.0
4.679,120.142,1320.0
4.689,104.745,1350.0
4.699,104.915,1350.0
4.709,120.754,1320.0
4.719,105.357,1350.0
4.729,121.196,1320.0
4.739,105.799,1350.0
4.749,105.969,1350.0
4.759,106.139,1350.0
4.769,106.309,1350.0
4.78,106.479,1350.0
4.789,122.318,1320.0
4.799,106.921,1350.0
4.809,107.091,1350.0
4.819,122.93,1320.0
4.829,107.533,1350.0
4.839,107.703,1350.0
4.849,107.873,1350.0
4.859,108.043,1350.0
4.869,108.213,1350.0
4.879,108.383,1350.0
4.889,124.222,1320.0
4.899,108.825,1350.0
4.909,108.995,1350.0
4.919,109.165,1350.0
4.929,109.335,1350.0
4.939,109.505,1350.0
4.95,109.675,1350.0
4.959,109.845,1350.0
4.969,110.015,1350.0
4.979,110.185,1350.0
4.989,110.355,1350.0
4.999,110.525,1350.0
5.009,110.695,1350.0
5.019,110.865,1350.0
5.029,111.035,1350.0
5.039,111.205,1350.0
5.049,111.375,1350.0
5.059,111.545,1350.0
5.069,111.715,1350.0
5.079,111.885,1350.0
5.089,112.055,1350.0
5.099,96.556,1380.0
5.109,112.293,1350.0
5.12,112.463,1350.0
5.129,128.302,1320.0
5.139,97.236,1380.0
5.149,112.973,1350.0
5.159,113.143,1350.0
5.169,113.313,1350.0
5.179,113.483,1350.0
5.189,97.984,1380.0
5.199,113.721,1350.0
5.209,113.891,1350.0
5.219,114.061,1350.0
5.229,114.231,1350.0
5.239,98.732,1380.0
5.249,114.469,1350.0
5.259,114.639,1350.0
5.269,114.809,1350.0
5.279,114.979,1350.0
5.289,99.48,1380.0
5.299,115.217,1350.0
5.309,115.387,1350.0
5.319,99.888,1380.0
5.329,115.625,1350.0
5.339,100.126,1380.0
5.349,115.863,1350.0
5.359,116.033,1350.0
5.369,116.203,1350.0
5.379,100.704,1380.0
5.389,116.441,1350.0
5.399,100.942,1380.0
5.409,116.679,1350.0
5.42,116.849,1350.0
5.429,101.35,1380.0
5.439,117.087,1350.0
5.449,117.257,1350.0
5.459,117.427,1350.0
5.469,101.928,1380.0
5.479,101.996,1380.0
5.489,117.733,1350.0
5.499,117.903,1350.0
5.509,102.404,1380.0
5.519,118.141,1350.0
5.529,118.311,1350.0
5.539,102.812,1380.0
5.549,102.88,1380.0
5.559,118.617,1350.0
5.569,118.787,1350.0
5.579,103.288,1380.0
