tempo,RPM
4.229,960.0
4.239,990.0
4.499,960.0
4.509,1020.0
4.519,990.0
4.529,990.0
4.539,960.0
4.549,990.0
4.559,1020.0
4.569,990.0
4.579,960.0
4.589,990.0
4.599,990.0
4.609,990.0
4.619,990.0
4.629,990.0
4.639,990.0
4.649,990.0
4.659,990.0
4.669,990.0
4.679,1020.0
4.689,990.0
4.699,960.0
4.709,990.0
4.719,990.0
4.729,960.0
4.739,1020.0
4.749,990.0
4.759,990.0
4.769,1020.0
4.78,960.0
4.789,990.0
4.799,990.0
4.809,1020.0
4.819,990.0
4.829,960.0
4.839,990.0
4.849,990.0
4.859,990.0
4.869,990.0
4.879,990.0
4.889,1020.0
4.899,960.0
4.909,990.0
4.919,1020.0
4.929,990.0
4.939,990.0
4.95,990.0
4.959,990.0
4.969,960.0
4.979,990.0
4.989,1020.0
4.999,990.0
5.009,990.0
5.019,990.0
5.029,1020.0
5.039,960.0
5.049,990.0
5.059,1020.0
5.069,990.0
5.079,960.0
5.089,990.0
5.099,990.0
5.109,1020.0
5.12,990.0
5.129,990.0
5.139,990.0
5.149,990.0
5.159,990.0
5.169,1020.0
5.179,990.0
5.189,990.0
5.199,960.0
5.209,990.0
5.219,1020.0
5.229,990.0
5.239,990.0
5.249,990.0
5.259,990.0
5.269,1020.0
5.279,990.0
5.289,960.0
5.299,1020.0
5.309,990.0
5.319,990.0
5.329,960.0
5.339,990.0
5.349,1020.0
5.359,1020.0
5.369,990.0
5.379,990.0
5.389,960.0
5.399,1020.0
5.409,990.0
5.42,990.0
5.429,1020.0
5.439,960.0
5.449,990.0
5.459,990.0
5.469,1020.0
5.479,990.0
5.489,990.0
5.499,990.0
5.509,990.0
5.519,990.0
5.529,1020.0
5.539,990.0
5.549,990.0
5.559,960.0
5.569,990.0
5.579,1020.0
5.59,990.0
5.599,990.0
5.609,990.0
5.619,990.0
5.629,1020.0
5.639,990.0
5.649,990.0
5.659,990.0
5.669,990.0
5.679,990.0
5.689,990.0
5.699,990.0
5.709,1020.0
5.719,990.0
5.729,990.0
5.739,990.0
5.749,990.0
5.76,1020.0
5.769,990.0
5.779,990.0
5.789,990.0
5.799,990.0
5.809,990.0
5.819,990.0
5.829,1020.0
5.839,990.0
5.849,990.0
5.859,990.0
5.869,990.0
5.879,990.0
5.889,1020.0
5.899,990.0
5.909,990.0
5.919,990.0
5.929,990.0
5.939,990.0
5.949,990.0
5.959,1020.0
5.969,990.0
5.979,990.0
5.989,990.0
5.999,1020.0
6.009,990.0
6.019,990.0
6.029,990.0
6.039,990.0
6.049,990.0
6.06,990.0
6.069,990.0
6.079,1020.0
6.089,990.0
6.099,1020.0
6.109,960.0
6.119,1020.0
6.129,990.0
6.139,990.0
6.149,990.0
6.159,1020.0
6.169,990.0
6.179,960.0
6.189,1020.0
6.199,990.0
6.209,1020.0
6.219,990.0
6.23,990.0
6.239,990.0
6.249,1020.0
6.259,990.0
6.269,990.0
6.279,1020.0
6.289,960.0
6.299,990.0
6.309,1020.0
6.319,1020.0
6.329,990.0
6.339,990.0
6.349,990.0
6.359,990.0
6.369,990.0
6.379,1020.0
6.389,1020.0
6.4,990.0
6.409,960.0
6.419,990.0
6.429,1020.0
6.439,990.0
6.449,1020.0
6.459,990.0
6.469,990.0
6.479,990.0
6.489,1020.0
6.749,990.0
6.759,990.0
6.769,990.0
6.779,990.0
6.789,990.0
6.799,1020.0
6.809,990.0
6.819,990.0
6.829,1020.0
6.839,990.0
6.849,990.0
6.859,1020.0
6.87,990.0
6.879,990.0
6.889,990.0
6.899,990.0
6.909,990.0
6.919,990.0
6.929,1020.0
6.939,1020.0
6.949,990.0
6.959,990.0
6.969,990.0
6.979,990.0
6.989,1020.0
6.999,990.0
7.009,990.0
7.019,990.0
7.029,1020.0
7.04,990.0
7.049,990.0
7.059,1020.0
7.069,990.0
7.079,990.0
7.089,990.0
7.099,990.0
7.109,1020.0
7.119,1020.0
7.129,960.0
7.139,990.0
7.149,990.0
7.159,1020.0
7.169,1020.0
7.179,990.0
7.189,990.0
7.199,990.0
7.209,990.0
7.219,1020.0
7.229,990.0
7.239,990.0
7.249,990.0
7.259,1020.0
7.269,990.0
7.279,990.0
7.289,990.0
7.299,1020.0
7.309,990.0
7.319,990.0
7.329,1020.0
7.34,1020.0
7.349,990.0
7.359,960.0
7.369,1020.0
7.379,990.0
7.389,990.0
7.399,990.0
7.409,1020.0
7.419,1020.0
7.429,990.0
7.439,990.0
7.449,990.0
7.459,990.0
7.469,1020.0
7.479,1020.0
7.489,990.0
7.499,960.0
7.51,990.0
7.519,1020.0
7.529,1020.0
7.539,990.0
7.549,990.0
7.559,990.0
7.569,990.0
7.579,1020.0
7.589,1020.0
7.599,990.0
7.609,990.0
7.619,990.0
7.629,990.0
7.639,990.0
7.649,1020.0
7.659,990.0
7.669,1020.0
7.68,990.0
7.689,990.0
7.699,1020.0
7.709,990.0
7.719,990.0
7.729,1020.0
7.739,990.0
7.749,960.0
7.759,1020.0
7.769,1020.0
7.779,990.0
7.789,990.0
7.799,1020.0
7.809,990.0
7.819,990.0
7.829,1020.0
7.839,990.0
7.849,990.0
7.859,990.0
7.869,990.0
7.879,1020.0
7.889,990.0
7.899,1020.0
7.909,990.0
7.919,990.0
7.929,990.0
7.939,1020.0
7.949,990.0
7.959,1020.0
7.969,990.0
7.98,960.0
7.989,1020.0
7.999,990.0
8.009,1020.0
8.019,990.0
8.029,990.0
8.039,1020.0
8.049,990.0
8.059,990.0
8.069,1020.0
8.079,990.0
8.089,1020.0
8.099,960.0
8.109,990.0
8.119,1020.0
8.129,1020.0
8.139,990.0
8.15,990.0
8.159,990.0
8.169,990.0
8.179,1020.0
8.189,990.0
8.199,1020.0
8.209,990.0
8.219,990.0
8.229,990.0
8.239,990.0
8.249,1020.0
8.259,990.0
8.269,1020.0
8.279,990.0
8.289,990.0
8.299,990.0
8.309,1020.0
8.32,990.0
8.329,990.0
8.339,990.0
8.349,1020.0
8.359,990.0
8.369,990.0
8.379,1020.0
8.389,990.0
8.399,990.0
8.409,990.0
8.419,1020.0
8.429,1020.0
8.439,990.0
8.449,990.0
8.459,990.0
8.469,990.0
8.479,990.0
8.489,1020.0
8.499,1020.0
8.509,990.0
8.519,990.0
8.529,990.0
8.539,1020.0
8.549,990.0
8.559,1020.0
8.569,990.0
8.579,990.0
8.589,960.0
8.599,1020.0
8.609,1020.0
8.62,990.0
8.629,1020.0
8.639,990.0
8.649,990.0
8.659,990.0
8.669,990.0
8.679,1020.0
8.689,1020.0
8.699,990.0
8.709,960.0
8.719,990.0
8.729,1020.0
8.739,1020.0
8.999,990.0
9.009,990.0
9.019,990.0
9.029,1020.0
9.039,1020.0
9.049,990.0
9.059,960.0
9.069,1020.0
9.079,990.0
9.089,1020.0
9.099,990.0
9.109,1020.0
9.119,990.0
9.129,990.0
9.139,990.0
9.149,1020.0
9.159,990.0
9.169,1020.0
9.179,990.0
9.189,990.0
9.199,990.0
9.209,990.0
9.219,1020.0
9.229,1020.0
9.239,990.0
9.249,990.0
9.26,990.0
9.269,1020.0
9.279,990.0
9.289,990.0
9.299,1020.0
9.309,990.0
9.319,990.0
9.329,990.0
9.339,1020.0
9.349,1020.0
9.359,990.0
9.369,960.0
9.379,1020.0
9.389,1020.0
9.399,1020.0
9.409,990.0
9.419,960.0
9.43,990.0
9.439,1020.0
9.449,1020.0
9.459,990.0
9.469,1020.0
9.479,990.0
9.489,990.0
9.499,990.0
9.509,1020.0
9.519,990.0
9.529,1020.0
9.539,990.0
9.549,960.0
9.559,1020.0
9.569,1020.0
9.579,990.0
9.589,990.0
9.6,1020.0
9.609,990.0
9.619,990.0
9.629,1020.0
9.639,990.0
9.649,990.0
9.659,990.0
9.669,1020.0
9.679,990.0
9.689,990.0
9.699,1020.0
9.709,990.0
9.719,990.0
9.729,1020.0
9.739,990.0
9.749,990.0
9.759,1020.0
9.769,990.0
9.779,990.0
9.789,990.0
9.799,1020.0
9.809,990.0
9.819,1020.0
9.829,990.0
9.839,990.0
9.849,990.0
9.859,990.0
9.869,1020.0
9.879,1020.0
9.889,990.0
9.9,990.0
9.909,990.0
9.919,990.0
9.929,1020.0
9.939,1020.0
9.949,990.0
9.959,990.0
9.969,990.0
9.979,990.0
9.989,1020.0
9.999,990.0
10.009,1020.0
10.019,990.0
10.029,990.0
10.039,990.0
10.049,990.0
10.059,1020.0
10.07,1020.0
10.079,990.0
10.089,990.0
10.099,990.0
10.109,1020.0
10.119,990.0
10.129,1020.0
10.139,990.0
10.149,990.0
10.159,990.0
10.169,990.0
10.179,1020.0
10.189,1020.0
10.199,990.0
10.209,990.0
10.219,990.0
10.229,1020.0
10.24,990.0
10.249,990.0
10.259,1020.0
10.269,990.0
10.279,990.0
10.289,990.0
10.299,1020.0
10.309,1020.0
10.319,990.0
10.329,960.0
10.339,1020.0
10.349,1020.0
10.359,1020.0
10.369,990.0
10.379,990.0
10.389,960.0
10.399,1020.0
10.409,1020.0
10.419,1020.0
10.429,990.0
10.439,990.0
10.449,990.0
10.459,990.0
10.469,1020.0
10.479,990.0
10.489,1020.0
10.499,990.0
10.509,990.0
10.519,990.0
10.529,990.0
10.54,1020.0
10.549,1020.0
10.559,990.0
10.569,990.0
10.579,990.0
10.589,1020.0
10.599,990.0
10.609,1020.0
10.619,990.0
10.629,960.0
10.639,1020.0
10.649,1020.0
10.659,990.0
10.669,990.0
10.679,1020.0
10.689,990.0
10.699,990.0
10.71,1020.0
10.719,990.0
10.729,990.0
10.739,1020.0
10.749,990.0
10.759,990.0
10.769,990.0
10.779,1020.0
10.789,990.0
10.799,990.0
10.809,1020.0
10.819,990.0
10.829,1020.0
10.839,990.0
10.849,990.0
10.859,990.0
10.869,1020.0
10.88,990.0
10.889,990.0
10.899,1020.0
10.909,990.0
10.919,1020.0
10.929,990.0
10.939,990.0
10.949,990.0
10.959,1020.0
10.969,990.0
10.979,1020.0
10.989,990.0
11.259,1020.0
11.269,990.0
11.279,990.0
11.289,990.0
11.299,1020.0
11.309,990.0
11.319,1020.0
11.329,990.0
11.339,990.0
11.35,990.0
11.359,990.0
11.369,1020.0
11.379,1020.0
11.389,990.0
11.399,990.0
11.409,990.0
11.419,1020.0
11.429,990.0
11.439,1020.0
11.449,990.0
11.459,990.0
11.469,990.0
11.479,1020.0
11.489,990.0
11.499,990.0
11.509,1020.0
11.52,1020.0
11.529,990.0
11.539,990.0
11.549,990.0
11.559,1020.0
11.569,990.0
11.579,990.0
11.589,990.0
11.599,1020.0
11.609,990.0
11.619,1020.0
11.629,990.0
11.639,990.0
11.649,990.0
11.659,1020.0
11.669,1020.0
11.679,990.0
11.689,990.0
11.699,990.0
11.709,990.0
11.719,990.0
11.729,1020.0
11.739,1020.0
11.749,990.0
11.759,990.0
11.769,1020.0
11.779,990.0
11.789,990.0
11.799,1020.0
11.809,990.0
11.82,990.0
11.829,990.0
11.839,1020.0
11.849,990.0
11.859,990.0
11.869,1020.0
11.879,1020.0
11.889,990.0
11.899,990.0
11.909,990.0
11.919,1020.0
11.929,990.0
11.939,990.0
11.949,990.0
11.959,1020.0
11.969,990.0
11.979,1020.0
11.99,990.0
11.999,990.0
12.009,1020.0
12.019,990.0
12.029,990.0
12.039,1020.0
12.049,990.0
12.059,990.0
12.069,990.0
12.079,1020.0
12.089,990.0
12.099,990.0
12.109,1020.0
12.119,990.0
12.129,1020.0
12.139,990.0
12.149,990.0
12.16,1020.0
12.169,990.0
12.179,990.0
12.189,990.0
12.199,990.0
12.209,1020.0
12.219,990.0
12.229,1020.0
12.239,990.0
12.249,1020.0
12.259,990.0
12.269,990.0
12.279,990.0
12.289,1020.0
12.299,990.0
12.309,1020.0
12.319,960.0
12.329,1020.0
12.339,1020.0
12.349,990.0
12.359,990.0
12.369,990.0
12.379,1020.0
12.389,990.0
12.399,1020.0
12.409,990.0
12.419,990.0
12.429,990.0
12.439,990.0
12.449,1020.0
12.46,1020.0
12.469,990.0
12.479,990.0
12.489,1020.0
12.499,990.0
12.509,990.0
12.519,1020.0
12.529,990.0
12.539,1020.0
12.549,960.0
12.559,990.0
12.569,1020.0
12.579,1020.0
12.589,1020.0
12.599,990.0
12.609,960.0
12.619,1020.0
12.63,990.0
12.639,1020.0
12.649,990.0
12.659,990.0
12.669,990.0
12.679,1020.0
12.689,990.0
12.699,990.0
12.709,1020.0
12.719,1020.0
12.729,960.0
12.739,1020.0
12.749,990.0
12.759,1020.0
12.769,990.0
12.779,990.0
12.789,1020.0
12.8,990.0
12.809,990.0
12.819,990.0
12.829,1020.0
12.839,990.0
12.849,990.0
12.859,1020.0
12.869,990.0
