PWM,RPM
111.121,1380.0
111.189,1380.0
111.257,1380.0
95.656,1410.0
111.291,1380.0
111.359,1380.0
111.427,1380.0
111.495,1380.0
111.563,1380.0
111.631,1380.0
111.699,1380.0
111.767,1380.0
96.166,1410.0
111.801,1380.0
111.869,1380.0
111.937,1380.0
112.005,1380.0
112.073,1380.0
112.141,1380.0
112.209,1380.0
112.277,1380.0
96.676,1410.0
112.311,1380.0
112.379,1380.0
96.778,1410.0
112.413,1380.0
128.15,1350.0
112.651,1380.0
97.05,1410.0
97.016,1410.0
112.651,1380.0
112.719,1380.0
112.787,1380.0
112.855,1380.0
112.923,1380.0
112.991,1380.0
97.39,1410.0
113.025,1380.0
113.093,1380.0
113.161,1380.0
97.56,1410.0
113.195,1380.0
113.263,1380.0
113.331,1380.0
113.399,1380.0
114.623,1380.0
99.022,1410.0
114.657,1380.0
114.725,1380.0
114.793,1380.0
99.192,1410.0
114.827,1380.0
99.226,1410.0
114.861,1380.0
114.929,1380.0
114.997,1380.0
99.396,1410.0
115.031,1380.0
115.099,1380.0
99.498,1410.0
115.133,1380.0
115.201,1380.0
99.6,1410.0
115.235,1380.0
115.303,1380.0
99.702,1410.0
115.337,1380.0
99.736,1410.0
115.371,1380.0
115.439,1380.0
115.507,1380.0
99.906,1410.0
115.541,1380.0
99.94,1410.0
115.575,1380.0
115.643,1380.0
115.711,1380.0
100.11,1410.0
100.076,1410.0
115.711,1380.0
115.779,1380.0
115.847,1380.0
100.246,1410.0
115.881,1380.0
100.28,1410.0
115.915,1380.0
115.983,1380.0
100.382,1410.0
116.017,1380.0
116.085,1380.0
100.484,1410.0
116.119,1380.0
100.518,1410.0
116.153,1380.0
116.221,1380.0
116.289,1380.0
100.688,1410.0
100.654,1410.0
116.289,1380.0
116.357,1380.0
100.756,1410.0
116.391,1380.0
100.791,1410.0
116.426,1380.0
116.494,1380.0
100.893,1410.0
116.528,1380.0
116.596,1380.0
100.995,1410.0
116.63,1380.0
101.029,1410.0
116.664,1380.0
116.732,1380.0
101.131,1410.0
101.097,1410.0
116.732,1380.0
116.8,1380.0
116.868,1380.0
101.267,1410.0
101.233,1410.0
116.868,1380.0
116.936,1380.0
101.335,1410.0
116.97,1380.0
101.369,1410.0
117.004,1380.0
101.403,1410.0
117.038,1380.0
117.106,1380.0
101.505,1410.0
117.14,1380.0
101.539,1410.0
101.505,1410.0
117.14,1380.0
117.208,1380.0
101.607,1410.0
117.242,1380.0
117.31,1380.0
101.709,1410.0
101.675,1410.0
117.31,1380.0
101.709,1410.0
117.344,1380.0
117.412,1380.0
101.811,1410.0
117.446,1380.0
117.514,1380.0
101.913,1410.0
101.879,1410.0
117.514,1380.0
101.913,1410.0
