Tempo (s),RPM
1.0125234127044678,0.0
2.014193058013916,0.0
3.018171548843384,0.0
4.022514820098877,0.0
5.026828765869141,0.0
6.030444383621216,0.0
7.035637140274048,0.0
8.039844751358032,0.9
9.044220924377441,1.8
10.047152519226074,1.8
11.051536083221436,200.0
12.055876731872559,440.43
13.06203818321228,630.8
15.066385984420776,824.78
16.071252584457397,1019.95
17.07528281211853,1206.96
18.082250118255615,1386.81
19.08475160598755,1545.39
20.08961820602417,1692.85
21.09395670890808,1835.81
22.096300840377808,1951.82
23.10111403465271,2069.33
24.10511803627014,2179.3
25.107571363449097,2278.29
26.11079216003418,2368.15
27.11428713798523,2457.42
28.1178457736969,2532.73
29.120088577270508,2604.61
30.122183322906494,2658.88
31.12391185760498,2725.99
32.1252326965332,2783.26
33.12993931770325,2841.4
34.13468337059021,2890.28
35.13961935043335,2945.7
36.146519899368286,2984.29
37.15117692947388,3027.76
38.15326905250549,3069.11
39.15778970718384,3107.84
40.16282629966736,3141.74
41.16464686393738,3178.82
42.171568870544434,3212.75
43.17494988441467,3236.98
44.17936062812805,3273.5
45.18402624130249,3299.02
46.18659830093384,3328.35
47.18943953514099,3357.11
48.19375014305115,3382.63
49.199044704437256,3407.5
50.204397678375244,3431.22
51.206974029541016,3462.84
52.21150064468384,3472.58
53.21623396873474,3580.14
54.22138047218323,3579.24
55.22552680969238,3592.31
56.22700810432434,3583.38
57.228904485702515,3580.69
58.23406410217285,3584.27
59.23544502258301,3584.05
60.239811182022095,3592.74
61.241092920303345,3597.75
62.2435348033905,3590.03
63.247828245162964,3600.83
64.2527232170105,3600.75
65.26000952720642,3602.27
66.26170420646667,3607.1
67.26649141311646,3608.25
68.27151727676392,3605.61
69.27657341957092,3606.53
70.2834210395813,3607.07
71.28537607192993,3605.33
72.29115581512451,3606.23
73.29485750198364,3605.01
74.29926824569702,3600.83
75.30370879173279,3595.36
76.30582356452942,3605.58
77.30862402915955,3608.64
78.31129693984985,3610.38
79.31358408927917,3612.52
80.31813669204712,3614.89
81.32084584236145,3612.46
82.32255363464355,3612.24
83.32724642753601,3612.81
84.3295350074768,3606.23
85.33201384544373,3605.61
86.334148645401,3593.54
87.33609223365784,3596.89
88.34046912193298,3593.89
89.3445405960083,3600.49
90.34741497039795,3603.84
91.35224056243896,3604.87
92.357262134552,3606.21
93.3612151145935,3606.1
94.363032579422,3605.57
95.3670802116394,3607.64
96.37141156196594,3608.61
97.37627458572388,3608.01
98.37838673591614,3604.96
99.38008737564087,3585.86
100.38470673561096,3603.23
101.38911652565002,3607.27
102.39558053016663,3607.71
103.3985664844513,3608.54
104.39942955970764,3608.05
105.40428400039673,3607.35
106.41223311424255,3607.34
107.4162027835846,3610.11
108.41900324821472,3611.61
109.42371273040771,3611.58
110.42788338661194,3605.33
111.43276119232178,3607.35
112.4375262260437,3607.71
113.44062805175781,5025132.0
114.4439103603363,3605.92
115.44853901863098,3606.81
116.4531660079956,3607.65
117.45816159248352,3607.11
118.46255922317505,3608.01
119.4672691822052,3607.71
120.47191143035889,3611.02
121.47477746009827,3605.0
122.47690010070801,3607.35
123.48196029663086,3608.01
124.48647570610046,3610.05
125.48931360244751,3608.94
126.49174237251282,3610.44
127.49650359153748,3608.31
128.49888157844543,3606.81
129.5010542869568,3608.24
130.5061480998993,3608.01
131.5108199119568,3610.97
132.51209688186646,3604.06
133.51650738716125,3606.23
134.51977396011353,3605.01
135.52155709266663,3605.86
136.523663520813,3603.24
137.5280420780182,3602.93
138.53010487556458,3603.23
139.53318238258362,3598.72
140.53490805625916,3584.05
141.53962302207947,3572.07
142.5407657623291,3565.45
143.5433566570282,3572.61
144.54710698127747,3584.63
145.54998397827148,3585.19
146.5509238243103,3574.47
147.5541112422943,3573.54
148.55840635299683,3583.39
149.56553769111633,3588.53
150.5694763660431,3592.72
151.5716781616211,3594.54
152.57651686668396,3594.82
153.58151149749756,3593.18
154.58600974082947,3592.42
155.59083819389343,3595.72
156.5977807044983,3597.16
157.5999617576599,3596.01
158.60471272468567,3599.05
159.60994696617126,3599.86
160.61255502700806,3599.46
161.61588168144226,3598.42
162.61817049980164,3578.64
163.62299633026123,3583.75
164.6281385421753,3583.13
165.6314673423767,3590.03
166.63352465629578,3598.13
167.63880038261414,3599.76
168.64365410804749,3601.13
169.65012216567993,3598.42
170.65213775634766,3585.76
171.6602427959442,3594.52
172.6633427143097,3598.41
173.66529059410095,3600.25
174.67016863822937,3599.92
175.67683362960815,3600.06
176.6808376312256,3600.2
177.68569684028625,3600.52
178.69052004814148,3598.98
179.69510078430176,3599.92
180.69983649253845,3599.79
181.7065875530243,3599.85
182.70950651168823,3598.73
183.71438717842102,3597.53
184.71935153007507,3597.51
185.72676873207092,3595.99
186.72933673858643,3597.53
187.73438811302185,3597.73
188.73722386360168,3594.24
189.7383267879486,3590.85
190.740802526474,3567.55
191.74331378936768,3579.79
192.7479953765869,3586.43
193.75270652770996,3588.24
194.75735807418823,3581.03
195.76049375534058,3590.27
196.76625275611877,3596.92
197.76790308952332,3595.42
198.77093148231506,3596.26
199.7751452922821,3598.11
200.77995896339417,3597.53
201.78408908843994,3598.06
203.78741669654846,3596.86
204.7940697669983,3596.32
205.79756045341492,3596.62
206.80272817611694,3595.96
207.80480027198792,3571.44
208.80738472938538,3587.87
209.81254720687866,3593.85
210.81807327270508,3596.94
211.82240533828735,3596.92
212.82728147506714,3595.11
213.83236742019653,3592.65
214.83741211891174,3592.1
215.84290766716003,3575.33
216.85040497779846,3588.84
217.85182809829712,3595.35
