tensao
Tempo (ms): 11374 | Velocidade (RPM): 0.00
Tempo (ms): 11475 | Velocidade (RPM): 0.00
Tempo (ms): 11577 | Velocidade (RPM): 0.00
Tempo (ms): 11677 | Velocidade (RPM): 0.00
Tempo (ms): 11779 | Velocidade (RPM): 0.00
Tempo (ms): 11880 | Velocidade (RPM): 0.00
Tempo (ms): 11980 | Velocidade (RPM): 0.00
Tempo (ms): 12082 | Velocidade (RPM): 0.00
Tempo (ms): 12183 | Velocidade (RPM): 0.00
Tempo (ms): 12283 | Velocidade (RPM): 0.00
Tempo (ms): 12385 | Velocidade (RPM): 0.00
Tempo (ms): 12486 | Velocidade (RPM): 0.00
Tempo (ms): 12587 | Velocidade (RPM): 0.00
Tempo (ms): 12688 | Velocidade (RPM): 0.00
Tempo (ms): 12789 | Velocidade (RPM): 0.00
Tempo (ms): 12891 | Velocidade (RPM): 0.00
Tempo (ms): 12991 | Velocidade (RPM): 0.00
Tempo (ms): 13092 | Velocidade (RPM): 5.94
Tempo (ms): 13194 | Velocidade (RPM): 166.11
Tempo (ms): 13295 | Velocidade (RPM): 894.83
Tempo (ms): 13396 | Velocidade (RPM): 1865.67
Tempo (ms): 13498 | Velocidade (RPM): 2763.10
Tempo (ms): 13599 | Velocidade (RPM): 3863.97
Tempo (ms): 13701 | Velocidade (RPM): 4972.03
Tempo (ms): 13802 | Velocidade (RPM): 6077.01
Tempo (ms): 13903 | Velocidade (RPM): 7148.90
Tempo (ms): 14006 | Velocidade (RPM): 8149.93
Tempo (ms): 14107 | Velocidade (RPM): 9082.70
Tempo (ms): 14210 | Velocidade (RPM): 9879.96
Tempo (ms): 14311 | Velocidade (RPM): 10579.04
Tempo (ms): 14413 | Velocidade (RPM): 11160.47
Tempo (ms): 14516 | Velocidade (RPM): 11632.11
Tempo (ms): 14618 | Velocidade (RPM): 11987.92
Tempo (ms): 14721 | Velocidade (RPM): 12302.67
Tempo (ms): 14823 | Velocidade (RPM): 12535.14
Tempo (ms): 14925 | Velocidade (RPM): 12675.69
Tempo (ms): 15028 | Velocidade (RPM): 12751.32
Tempo (ms): 15130 | Velocidade (RPM): 12754.62
Tempo (ms): 15233 | Velocidade (RPM): 12681.99
Tempo (ms): 15335 | Velocidade (RPM): 12536.12
Tempo (ms): 15437 | Velocidade (RPM): 12327.68
Tempo (ms): 15540 | Velocidade (RPM): 12056.50
Tempo (ms): 15642 | Velocidade (RPM): 11693.83
Tempo (ms): 15745 | Velocidade (RPM): 11252.35
Tempo (ms): 15847 | Velocidade (RPM): 10686.19
Tempo (ms): 15949 | Velocidade (RPM): 10009.79
Tempo (ms): 16051 | Velocidade (RPM): 9205.94
Tempo (ms): 16153 | Velocidade (RPM): 8277.06
Tempo (ms): 16254 | Velocidade (RPM): 7165.89
Tempo (ms): 16357 | Velocidade (RPM): 5907.23
Tempo (ms): 16458 | Velocidade (RPM): 4536.15
Tempo (ms): 16560 | Velocidade (RPM): 3098.03
Tempo (ms): 16661 | Velocidade (RPM): 1571.32
Tempo (ms): 16762 | Velocidade (RPM): 213.17
Tempo (ms): 16864 | Velocidade (RPM): 0.00
Tempo (ms): 16964 | Velocidade (RPM): 0.00
Tempo (ms): 17065 | Velocidade (RPM): 0.00
Tempo (ms): 17167 | Velocidade (RPM): 0.00
Tempo (ms): 17267 | Velocidade (RPM): 0.00
Tempo (ms): 17369 | Velocidade (RPM): 0.00
Tempo (ms): 17470 | Velocidade (RPM): 0.00
Tempo (ms): 17570 | Velocidade (RPM): 0.00
Tempo (ms): 17672 | Velocidade (RPM): 0.00
Tempo (ms): 17773 | Velocidade (RPM): 0.00
Tempo (ms): 17873 | Velocidade (RPM): 0.00
Tempo (ms): 17975 | Velocidade (RPM): 0.00
Tempo (ms): 18076 | Velocidade (RPM): 0.00
Tempo (ms): 18177 | Velocidade (RPM): 0.00
Tempo (ms): 18278 | Velocidade (RPM): 0.00
Tempo (ms): 18379 | Velocidade (RPM): 0.00
Tempo (ms): 18480 | Velocidade (RPM): 0.00
Tempo (ms): 18581 | Velocidade (RPM): 0.00
Tempo (ms): 18682 | Velocidade (RPM): 0.00
Tempo (ms): 18784 | Velocidade (RPM): 0.00
Tempo (ms): 18884 | Velocidade (RPM): 0.00
Tempo (ms): 18985 | Velocidade (RPM): 0.00
Tempo (ms): 19087 | Velocidade (RPM): 0.00
Tempo (ms): 19187 | Velocidade (RPM): 0.00
Tempo (ms): 19289 | Velocidade (RPM): 0.00
Tempo (ms): 19390 | Velocidade (RPM): 0.00
Tempo (ms): 19490 | Velocidade (RPM): 0.00
Tempo (ms): 19592 | Velocidade (RPM): 8.91
Tempo (ms): 19693 | Velocidade (RPM): 106.80
Tempo (ms): 19794 | Velocidade (RPM): 607.42
Tempo (ms): 19896 | Velocidade (RPM): 1454.61
Tempo (ms): 19997 | Velocidade (RPM): 2331.27
Tempo (ms): 20099 | Velocidade (RPM): 3347.40
Tempo (ms): 20200 | Velocidade (RPM): 4462.53
Tempo (ms): 20301 | Velocidade (RPM): 5579.29
Tempo (ms): 20403 | Velocidade (RPM): 6687.79
Tempo (ms): 20505 | Velocidade (RPM): 7743.27
Tempo (ms): 20606 | Velocidade (RPM): 8715.38
Tempo (ms): 20709 | Velocidade (RPM): 9589.50
Tempo (ms): 20810 | Velocidade (RPM): 10339.55
Tempo (ms): 20913 | Velocidade (RPM): 10970.17
Tempo (ms): 21015 | Velocidade (RPM): 11488.81
Tempo (ms): 21117 | Velocidade (RPM): 11920.49
Tempo (ms): 21220 | Velocidade (RPM): 12217.21
Tempo (ms): 21322 | Velocidade (RPM): 12468.76
Tempo (ms): 21425 | Velocidade (RPM): 12630.78
Tempo (ms): 21527 | Velocidade (RPM): 12718.12
Tempo (ms): 21629 | Velocidade (RPM): 12753.69
Tempo (ms): 21732 | Velocidade (RPM): 12713.70
Tempo (ms): 21834 | Velocidade (RPM): 12601.99
Tempo (ms): 21937 | Velocidade (RPM): 12435.57
Tempo (ms): 22039 | Velocidade (RPM): 12198.74
Tempo (ms): 22141 | Velocidade (RPM): 11833.16
Tempo (ms): 22244 | Velocidade (RPM): 11389.58
Tempo (ms): 22346 | Velocidade (RPM): 10863.10
Tempo (ms): 22449 | Velocidade (RPM): 10243.29
